Balugo,9.364014,123.2468727
Tawangrejo,-8.035636,111.9969626
Vitória da Conquista,-14.8503277,-40.844989
Raciążek,52.856485,18.8133859
Glencoe,-28.1804757,30.1531568
Tangyin,35.924514,114.357763
Khadyzhensk,44.418695,39.5314274
Gungguh,-7.035,113.5599
La Floresta,-34.7503543,-55.6856213
Treinta y Tres,-33.229046,-54.3576473
Nice,43.704612,7.261933
Kuala Lumpur,3.1409415,101.700398
Ajman,25.4052165,55.5136433
Sakaiminato,35.5603286,133.1965067
Šuto Orizare,41.9924293,21.4298411
Condado,21.8727408,-79.8380778
La Quiaca,-34.5903621,-58.7186017
Kensington,52.125546,-106.6611689
Bilice,45.2581286,17.8291657
Ilha Solteira,-20.4363727,-51.3050851
